Image,TP_veg,FP_veg,FN_veg,TP_non_veg,FP_non_veg,FN_non_veg
182,4287,5,8041,4056,5,12328
183,8552,0,6242,1590,0,14794
184,7548,5,6662,2174,5,14210
185,6348,117,7088,2948,117,13436
186,6151,36,7399,2834,36,13550
187,3618,8,9339,3427,8,12957
188,2725,15,10961,2698,15,13686
189,2555,7,2548,11281,7,5103
190,2251,42,1699,12434,42,3950
191,44,0,1739,14601,0,1783
192,485,0,8930,6969,0,9415
193,1212,32,2848,12324,32,4060
194,4280,0,8744,3360,0,13024
195,2913,225,5666,7805,225,8579
196,4449,0,9020,2915,0,13469
197,860,0,5395,10129,0,6255
198,5456,7,5078,5850,7,10534
199,1467,0,14917,0,0,16384
200,3561,0,12823,0,0,16384
201,183,0,16201,0,0,16384
202,6,0,16378,0,0,16384
203,584,0,15800,0,0,16384
204,2332,18,3789,10263,18,6121
205,1957,3,6640,7787,3,8597
206,338,55,864,15182,55,1202
207,2344,0,7721,6319,0,10065
208,7776,0,8608,0,0,16384
209,11730,0,4654,0,0,16384
210,2626,15,4947,8811,15,7573
211,14722,0,1631,31,0,16353
212,2610,0,4290,9484,0,6900
213,6020,79,1908,8456,79,7928
214,6108,1,8858,1418,1,14966
215,781,0,14368,1235,0,15149
216,1166,0,15022,196,0,16188
217,1600,0,13639,1145,0,15239
218,210,0,11252,4922,0,11462
219,7089,0,8956,339,0,16045
220,6,0,2342,14036,0,2348
221,531,14,1393,14460,14,1924
222,1985,0,2416,11983,0,4401
223,14845,0,1470,69,0,16315
224,15586,0,798,0,0,16384
225,7049,1,1400,7935,1,8449
226,14972,0,1412,0,0,16384
227,4328,0,1812,10244,0,6140
228,4741,0,7828,3815,0,12569
229,0,4,2739,13645,4,2739
230,175,0,5008,11201,0,5183
231,0,0,224,16160,0,224
232,714,3,5261,10409,3,5975
233,567,2,884,14933,2,1451
234,6441,1,2974,6969,1,9415
235,2998,3,4643,8743,3,7641
236,1023,28,2986,12375,28,4009
237,108,0,361,15915,0,469
238,2773,0,3642,9969,0,6415
239,10165,0,5806,413,0,15971
240,3984,73,2006,10394,73,5990
241,787,43,463,15134,43,1250
242,423,7,179,15782,7,602
243,13761,43,897,1726,43,14658
244,1076,36,946,14362,36,2022
245,6261,183,1186,8937,183,7447
246,1345,29,1075,13964,29,2420
247,5592,6,4418,6374,6,10010
248,9050,52,4058,3276,52,13108
249,13906,17,1569,909,17,15475
250,11129,10,2182,3073,10,13311
251,7810,190,243,8331,190,8053
252,91,65,445,15848,65,536
253,1575,56,564,14245,56,2139
254,0,0,0,16384,0,0
255,2453,113,613,13318,113,3066
256,13136,86,1238,2010,86,14374
257,0,0,0,16384,0,0
258,12250,0,4134,0,0,16384
259,13872,0,2512,0,0,16384
260,4476,0,11908,0,0,16384
261,12835,0,3549,0,0,16384
262,55,0,249,16080,0,304
263,765,53,1056,14563,53,1821
264,94,1,202,16088,1,296
265,55,0,492,15837,0,547
266,3978,0,2720,9686,0,6698
267,268,1,833,15283,1,1101
268,0,0,0,16384,0,0
269,821,29,3840,11723,29,4661
270,3745,131,2660,9979,131,6405
271,0,0,0,16384,0,0
272,12091,68,1446,2847,68,13537
273,10280,6,5917,187,6,16197
274,13328,0,3056,0,0,16384
275,9732,0,6652,0,0,16384
276,0,0,0,16384,0,0
277,0,0,0,16384,0,0
278,893,6,656,14835,6,1549
279,0,0,0,16384,0,0
280,198,0,172,16014,0,370
281,0,0,0,16384,0,0
282,0,0,0,16384,0,0
283,6951,94,3160,6273,94,10111
284,3472,179,2308,10604,179,5780
285,0,0,0,16384,0,0
286,6,2,247,16131,2,253
287,2778,0,5008,8598,0,7786
288,10415,0,5969,0,0,16384
289,14488,22,1159,737,22,15647
290,0,0,0,16384,0,0
291,0,0,0,16384,0,0
292,0,0,0,16384,0,0
293,281,0,355,15748,0,636
294,184,0,119,16081,0,303
295,457,6,130,15797,6,587
296,4679,9,1669,10036,9,6348
297,158,1,66,16160,1,224
298,3429,54,4539,8416,54,7968
299,1725,22,169,14490,22,1894
300,1793,4,3272,11319,4,5065
301,2700,0,2599,11085,0,5299
302,2274,58,5031,9079,58,7305
303,4725,74,1179,10480,74,5904
304,4801,9,6158,5425,9,10959
305,10139,0,6245,0,0,16384
306,14556,0,1828,0,0,16384
307,8628,4,7072,684,4,15700
308,766,0,4510,11108,0,5276
309,5477,103,1302,9605,103,6779
310,0,0,0,16384,0,0
311,2468,28,937,12979,28,3405
312,7173,173,1843,7368,173,9016
313,0,0,0,16384,0,0
314,5745,71,2224,8415,71,7969
315,6191,38,5323,4870,38,11514
316,16376,0,8,0,0,16384
317,11585,90,855,3944,90,12440
318,0,0,0,16384,0,0
319,0,0,24,16360,0,24
320,2532,0,3289,10563,0,5821
321,189,0,413,15782,0,602
322,0,0,0,16384,0,0
323,672,0,826,14886,0,1498
324,0,0,0,16384,0,0
325,9118,6,781,6485,6,9899
326,701,6,407,15276,6,1108
327,0,0,0,16384,0,0
328,163,16,185,16036,16,348
329,9032,0,4155,3197,0,13187
330,13322,0,3062,0,0,16384
331,3338,0,2235,10811,0,5573
332,0,0,0,16384,0,0
333,92,3,288,16004,3,380
334,1576,1,1513,13295,1,3089
335,2269,19,1504,12611,19,3773
336,709,41,985,14690,41,1694
337,15000,2,765,619,2,15765
338,0,0,0,16384,0,0
339,9929,0,6455,0,0,16384
340,8332,151,1682,6370,151,10014
341,0,0,0,16384,0,0
342,4113,6,564,11707,6,4677
343,800,21,948,14636,21,1748
344,2815,0,5635,7934,0,8450
345,0,0,1453,14931,0,1453
346,0,0,57,16327,0,57
347,0,0,264,16120,0,264
348,0,0,156,16228,0,156
349,185,19,531,15668,19,716
350,7502,12,756,8126,12,8258
351,15347,0,1037,0,0,16384
352,0,0,111,16273,0,111
353,12098,0,4286,0,0,16384
354,7740,131,4068,4576,131,11808
355,0,0,178,16206,0,178
356,8197,0,7734,453,0,15931
357,6060,66,1396,8928,66,7456
358,300,0,316,15768,0,616
359,352,6,469,15563,6,821
360,1306,5,1711,13367,5,3017
361,6875,0,7365,2144,0,14240
362,1056,0,3110,12218,0,4166
363,12,0,559,15813,0,571
364,13882,0,1251,1251,0,15133
365,13901,0,2483,0,0,16384
366,502,4,823,15059,4,1325
367,16194,0,190,0,0,16384
368,5079,23,5798,5507,23,10877
369,1877,3,1916,12591,3,3793
370,3518,0,4788,8078,0,8306
371,0,0,0,16384,0,0
372,0,0,3146,13238,0,3146
373,59,13,465,15860,13,524
374,8751,0,2518,5115,0,11269
375,5558,113,3824,7002,113,9382
376,5637,78,1672,9075,78,7309
377,5818,0,3420,7146,0,9238
378,16027,0,357,0,0,16384
379,13167,0,3217,0,0,16384
380,0,0,0,16384,0,0
381,13144,0,3240,0,0,16384
382,7063,0,4147,5174,0,11210
383,0,0,0,16384,0,0
384,0,0,524,15860,0,524
385,0,0,0,16384,0,0
386,0,0,3278,13106,0,3278
387,0,4,0,16384,4,0
388,1199,39,702,14483,39,1901
389,0,0,994,15390,0,994
390,4641,143,1611,10132,143,6252
391,4385,67,2218,9781,67,6603
392,15873,0,511,0,0,16384
393,13038,0,3346,0,0,16384
394,0,0,0,16384,0,0
395,8778,0,7606,0,0,16384
396,12889,0,3494,1,0,16383
397,0,0,0,16384,0,0
398,9550,0,1625,5209,0,11175
399,1216,0,513,14655,0,1729
400,119,0,1665,14600,0,1784
401,1463,34,1117,13804,34,2580
402,0,0,0,16384,0,0
403,0,0,739,15645,0,739
404,2000,0,1256,13128,0,3256
405,8844,106,1386,6154,106,10230
406,12291,0,4093,0,0,16384
407,13041,0,3343,0,0,16384
408,3137,0,567,12680,0,3704
409,3551,81,4217,8616,81,7768
410,11970,0,2331,2083,0,14301
411,0,0,0,16384,0,0
412,15687,0,697,0,0,16384
413,1718,0,1011,13655,0,2729
414,578,0,1894,13912,0,2472
415,9098,20,6520,766,20,15618
416,0,0,0,16384,0,0
417,0,0,87,16297,0,87
418,0,0,0,16384,0,0
419,2128,0,1359,12897,0,3487
420,8134,30,3928,4322,30,12062
421,5008,158,832,10544,158,5840
422,0,0,2442,13942,0,2442
423,0,0,0,16384,0,0
424,2337,8,3321,10726,8,5658
425,0,0,0,16384,0,0
426,8906,0,7430,48,0,16336
427,7591,0,8782,11,0,16373
428,2573,8,3791,10020,8,6364
429,7636,0,7951,797,0,15587
430,4179,61,2910,9295,61,7089
431,6510,130,4243,5631,130,10753
432,12679,1,3386,319,1,16065
433,7395,0,8989,0,0,16384
434,11775,0,4609,0,0,16384
435,5624,9,1107,9653,9,6731
436,9,0,269,16106,0,278
437,0,0,336,16048,0,336
438,3376,1,5826,7182,1,9202
439,0,0,3,16381,0,3
440,6497,0,9887,0,0,16384
441,6902,0,9482,0,0,16384
442,12105,0,4279,0,0,16384
443,15687,0,697,0,0,16384
444,5741,63,3304,7339,63,9045
445,245,34,200,15939,34,445
446,0,0,2751,13633,0,2751
447,973,0,11432,3979,0,12405
448,13614,31,816,1954,31,14430
449,311,25,1505,14568,25,1816
450,0,0,186,16198,0,186
451,0,0,462,15922,0,462
452,4486,6,5811,6087,6,10297
453,0,0,0,16384,0,0
454,129,0,7606,8649,0,7735
455,9954,0,6430,0,0,16384
456,16379,0,5,0,0,16384
457,11994,0,4390,0,0,16384
458,502,0,3366,12516,0,3868
459,5058,140,3813,7513,140,8871
460,0,0,0,16384,0,0
461,188,0,250,15946,0,438
462,2497,86,204,13683,86,2701
463,0,0,0,16384,0,0
464,133,0,725,15526,0,858
465,10142,10,3476,2766,10,13618
466,6565,37,5179,4640,37,11744
467,884,1,738,14762,1,1622
468,11133,0,4472,779,0,15605
469,14617,0,1767,0,0,16384
470,16384,0,0,0,0,16384
471,14009,0,2375,0,0,16384
472,1923,0,3409,11052,0,5332
473,1267,8,1944,13173,8,3211
474,0,0,0,16384,0,0
475,0,0,0,16384,0,0
476,0,0,0,16384,0,0
477,376,1,1430,14578,1,1806
478,564,1,607,15213,1,1171
479,11264,0,2193,2927,0,13457
480,7944,0,8440,0,0,16384
481,2,0,2840,13542,0,2842
482,14865,0,1519,0,0,16384
483,14561,0,1823,0,0,16384
484,14152,0,2232,0,0,16384
485,6444,0,9940,0,0,16384
486,0,0,0,16384,0,0
487,664,3,169,15551,3,833
488,1722,79,2231,12431,79,3953
489,0,0,0,16384,0,0
490,0,0,0,16384,0,0
491,2869,21,1874,11641,21,4743
492,248,1,333,15803,1,581
493,12,0,935,15437,0,947
494,12554,0,1606,2224,0,14160
495,0,0,0,16384,0,0
496,14268,0,2116,0,0,16384
497,16310,0,74,0,0,16384
498,7637,0,8747,0,0,16384
499,6678,0,9706,0,0,16384
500,0,0,0,16384,0,0
501,3,1,33,16348,1,36
502,0,0,0,16384,0,0
503,1755,21,2433,12196,21,4188
504,521,0,1941,13922,0,2462
505,275,2,410,15699,2,685
